type,value,timestamp
GOOG,32.46200180053711,2015-10-07 16:00:00
MSFT,46.560001373291016,2015-10-08 16:00:01
GOOG,32.06800079345703,2015-10-08 16:00:00
GOOG,32.0,2015-10-09 16:00:00
MSFT,47.45000076293945,2015-10-09 16:00:01
MSFT,46.97999954223633,2015-10-12 16:00:01
GOOG,32.10449981689453,2015-10-12 16:00:00
MSFT,46.560001373291016,2015-10-13 16:00:01
GOOG,32.157501220703125,2015-10-13 16:00:00
MSFT,46.650001525878906,2015-10-14 16:00:01
GOOG,32.660499572753906,2015-10-14 16:00:00
GOOG,32.733001708984375,2015-10-15 16:00:00
MSFT,47.0099983215332,2015-10-15 16:00:01
GOOG,33.205501556396484,2015-10-16 16:00:00
MSFT,47.02000045776367,2015-10-16 16:00:01
GOOG,33.058998107910156,2015-10-19 16:00:00
MSFT,47.41999816894531,2015-10-19 16:00:01
GOOG,33.20199966430664,2015-10-20 16:00:00
MSFT,47.439998626708984,2015-10-20 16:00:01
GOOG,32.70750045776367,2015-10-21 16:00:00
MSFT,47.91999816894531,2015-10-21 16:00:01
GOOG,32.334999084472656,2015-10-22 16:00:00
MSFT,47.529998779296875,2015-10-22 16:00:01
GOOG,36.375,2015-10-23 16:00:00
MSFT,52.29999923706055,2015-10-23 16:00:01
MSFT,52.529998779296875,2015-10-26 16:00:01
GOOG,35.07749938964844,2015-10-26 16:00:00
GOOG,35.36899948120117,2015-10-27 16:00:00
MSFT,53.9900016784668,2015-10-27 16:00:01
GOOG,35.36650085449219,2015-10-28 16:00:00
MSFT,53.540000915527344,2015-10-28 16:00:01
GOOG,35.525001525878906,2015-10-29 16:00:00
MSFT,53.540000915527344,2015-10-29 16:00:01
MSFT,53.31999969482422,2015-10-30 16:00:01
GOOG,35.7864990234375,2015-10-30 16:00:00
GOOG,35.553001403808594,2015-11-02 16:00:00
MSFT,52.849998474121094,2015-11-02 16:00:01
GOOG,35.94300079345703,2015-11-03 16:00:00
MSFT,52.93000030517578,2015-11-03 16:00:01
MSFT,54.18000030517578,2015-11-04 16:00:01
GOOG,36.099998474121094,2015-11-04 16:00:00
GOOG,36.4734992980957,2015-11-05 16:00:00
MSFT,54.4900016784668,2015-11-05 16:00:01
MSFT,54.09000015258789,2015-11-06 16:00:01
GOOG,36.57500076293945,2015-11-06 16:00:00
MSFT,54.54999923706055,2015-11-09 16:00:01
GOOG,36.5099983215332,2015-11-09 16:00:00
MSFT,54.06999969482422,2015-11-10 16:00:01
GOOG,36.220001220703125,2015-11-10 16:00:00
MSFT,53.70000076293945,2015-11-11 16:00:01
GOOG,36.62300109863281,2015-11-11 16:00:00
GOOG,36.54999923706055,2015-11-12 16:00:00
MSFT,53.47999954223633,2015-11-12 16:00:01
MSFT,53.06999969482422,2015-11-13 16:00:01
GOOG,36.458499908447266,2015-11-13 16:00:00
GOOG,35.779998779296875,2015-11-16 16:00:00
MSFT,53.08000183105469,2015-11-16 16:00:01
GOOG,36.464500427246094,2015-11-17 16:00:00
MSFT,53.16999816894531,2015-11-17 16:00:01
MSFT,53.0,2015-11-18 16:00:01
GOOG,36.37900161743164,2015-11-18 16:00:00
GOOG,36.9370002746582,2015-11-19 16:00:00
MSFT,53.9900016784668,2015-11-19 16:00:01
MSFT,54.25,2015-11-20 16:00:01
GOOG,37.32649993896485,2015-11-20 16:00:00
MSFT,54.25,2015-11-23 16:00:01
GOOG,37.872501373291016,2015-11-23 16:00:00
MSFT,53.91999816894531,2015-11-24 16:00:01
GOOG,37.599998474121094,2015-11-24 16:00:00
MSFT,54.09000015258789,2015-11-25 16:00:01
GOOG,37.40700149536133,2015-11-25 16:00:00
GOOG,37.42300033569336,2015-11-27 16:00:00
MSFT,53.79999923706055,2015-11-27 16:00:01
GOOG,37.44049835205078,2015-11-30 16:00:00
MSFT,54.540000915527344,2015-11-30 16:00:01
MSFT,54.40999984741211,2015-12-01 16:00:01
GOOG,37.355499267578125,2015-12-01 16:00:00
GOOG,38.44499969482422,2015-12-02 16:00:00
MSFT,55.31999969482422,2015-12-02 16:00:01
MSFT,55.4900016784668,2015-12-03 16:00:01
GOOG,38.300498962402344,2015-12-03 16:00:00
MSFT,54.119998931884766,2015-12-04 16:00:01
GOOG,37.654998779296875,2015-12-04 16:00:00
GOOG,38.38850021362305,2015-12-07 16:00:00
MSFT,55.790000915527344,2015-12-07 16:00:01
GOOG,37.894500732421875,2015-12-08 16:00:00
MSFT,55.470001220703125,2015-12-08 16:00:01
MSFT,55.369998931884766,2015-12-09 16:00:01
GOOG,37.958499908447266,2015-12-09 16:00:00
MSFT,55.38999938964844,2015-12-10 16:00:01
GOOG,37.64250183105469,2015-12-10 16:00:00
GOOG,37.05799865722656,2015-12-11 16:00:00
MSFT,54.709999084472656,2015-12-11 16:00:01
GOOG,37.089500427246094,2015-12-14 16:00:00
MSFT,54.33000183105469,2015-12-14 16:00:01
MSFT,55.65999984741211,2015-12-15 16:00:01
GOOG,37.650001525878906,2015-12-15 16:00:00
MSFT,55.540000915527344,2015-12-16 16:00:01
GOOG,37.5,2015-12-16 16:00:00
GOOG,38.12099838256836,2015-12-17 16:00:00
MSFT,56.36000061035156,2015-12-17 16:00:01
GOOG,37.32550048828125,2015-12-18 16:00:00
MSFT,55.77000045776367,2015-12-18 16:00:01
MSFT,54.880001068115234,2015-12-21 16:00:01
GOOG,37.30649948120117,2015-12-21 16:00:00
MSFT,54.9900016784668,2015-12-22 16:00:01
GOOG,37.58250045776367,2015-12-22 16:00:00
GOOG,37.67350006103515,2015-12-23 16:00:00
MSFT,55.70000076293945,2015-12-23 16:00:01
GOOG,37.477500915527344,2015-12-24 16:00:00
MSFT,55.86000061035156,2015-12-24 16:00:01
GOOG,37.645999908447266,2015-12-28 16:00:00
MSFT,55.349998474121094,2015-12-28 16:00:01
MSFT,56.290000915527344,2015-12-29 16:00:01
GOOG,38.33449935913086,2015-12-29 16:00:00
MSFT,56.470001220703125,2015-12-30 16:00:01
GOOG,38.83000183105469,2015-12-30 16:00:00
MSFT,56.040000915527344,2015-12-31 16:00:01
GOOG,38.474998474121094,2015-12-31 16:00:00
MSFT,54.31999969482422,2016-01-04 16:00:01
GOOG,37.150001525878906,2016-01-04 16:00:00
MSFT,54.93000030517578,2016-01-05 16:00:01
GOOG,37.3224983215332,2016-01-05 16:00:00
MSFT,54.31999969482422,2016-01-06 16:00:01
GOOG,36.5,2016-01-06 16:00:00
MSFT,52.70000076293945,2016-01-07 16:00:01
GOOG,36.515499114990234,2016-01-07 16:00:00
GOOG,36.5724983215332,2016-01-08 16:00:00
MSFT,52.369998931884766,2016-01-08 16:00:01
MSFT,52.5099983215332,2016-01-11 16:00:01
GOOG,35.830501556396484,2016-01-11 16:00:00
MSFT,52.7599983215332,2016-01-12 16:00:01
GOOG,36.08399963378906,2016-01-12 16:00:00
MSFT,53.79999923706055,2016-01-13 16:00:01
GOOG,36.54249954223633,2016-01-13 16:00:00
MSFT,52.0,2016-01-14 16:00:01
GOOG,35.26900100708008,2016-01-14 16:00:00
MSFT,51.310001373291016,2016-01-15 16:00:01
GOOG,34.614498138427734,2016-01-15 16:00:00
GOOG,35.165000915527344,2016-01-19 16:00:00
MSFT,51.47999954223633,2016-01-19 16:00:01
MSFT,49.97999954223633,2016-01-20 16:00:01
GOOG,34.43050003051758,2016-01-20 16:00:00
MSFT,51.0,2016-01-21 16:00:01
GOOG,35.10900115966797,2016-01-21 16:00:00
MSFT,51.40999984741211,2016-01-22 16:00:01
GOOG,36.18000030517578,2016-01-22 16:00:00
MSFT,51.939998626708984,2016-01-25 16:00:01
GOOG,36.17900085449219,2016-01-25 16:00:00
MSFT,51.790000915527344,2016-01-26 16:00:01
GOOG,35.692501068115234,2016-01-26 16:00:00
MSFT,52.0099983215332,2016-01-27 16:00:01
GOOG,35.68349838256836,2016-01-27 16:00:00
MSFT,51.86000061035156,2016-01-28 16:00:01
GOOG,36.11100006103515,2016-01-28 16:00:00
GOOG,36.57649993896485,2016-01-29 16:00:00
MSFT,54.72999954223633,2016-01-29 16:00:01
GOOG,37.52299880981445,2016-02-01 16:00:00
MSFT,54.880001068115234,2016-02-01 16:00:01
GOOG,39.224998474121094,2016-02-02 16:00:00
MSFT,54.16999816894531,2016-02-02 16:00:01
MSFT,53.25,2016-02-03 16:00:01
GOOG,38.51100158691406,2016-02-03 16:00:00
GOOG,36.140499114990234,2016-02-04 16:00:00
MSFT,52.099998474121094,2016-02-04 16:00:01
MSFT,51.939998626708984,2016-02-05 16:00:01
GOOG,35.19350051879883,2016-02-05 16:00:00
GOOG,33.39250183105469,2016-02-08 16:00:00
MSFT,49.54999923706055,2016-02-08 16:00:01
MSFT,49.02000045776367,2016-02-09 16:00:01
GOOG,33.61600112915039,2016-02-09 16:00:00
GOOG,34.34299850463867,2016-02-10 16:00:00
MSFT,49.88999938964844,2016-02-10 16:00:01
MSFT,48.68000030517578,2016-02-11 16:00:01
GOOG,33.75,2016-02-11 16:00:00
GOOG,34.51300048828125,2016-02-12 16:00:00
MSFT,50.25,2016-02-12 16:00:01
MSFT,50.900001525878906,2016-02-16 16:00:01
GOOG,34.64899826049805,2016-02-16 16:00:00
GOOG,34.90449905395508,2016-02-17 16:00:00
MSFT,51.4900016784668,2016-02-17 16:00:01
MSFT,52.33000183105469,2016-02-18 16:00:01
GOOG,35.5,2016-02-18 16:00:00
GOOG,34.75149917602539,2016-02-19 16:00:00
MSFT,51.970001220703125,2016-02-19 16:00:01
MSFT,52.279998779296875,2016-02-22 16:00:01
GOOG,35.372501373291016,2016-02-22 16:00:00
MSFT,52.34000015258789,2016-02-23 16:00:01
GOOG,35.0724983215332,2016-02-23 16:00:00
MSFT,50.689998626708984,2016-02-24 16:00:01
GOOG,34.44599914550781,2016-02-24 16:00:00
GOOG,35.0004997253418,2016-02-25 16:00:00
MSFT,51.72999954223633,2016-02-25 16:00:01
MSFT,52.599998474121094,2016-02-26 16:00:01
GOOG,35.42900085449219,2016-02-26 16:00:00
MSFT,51.349998474121094,2016-02-29 16:00:01
GOOG,35.01599884033203,2016-02-29 16:00:00
MSFT,50.970001220703125,2016-03-01 16:00:01
GOOG,35.180999755859375,2016-03-01 16:00:00
GOOG,35.95000076293945,2016-03-02 16:00:00
MSFT,52.40999984741211,2016-03-02 16:00:01
MSFT,52.970001220703125,2016-03-03 16:00:01
GOOG,35.933998107910156,2016-03-03 16:00:00
MSFT,52.400001525878906,2016-03-04 16:00:01
GOOG,35.7495002746582,2016-03-04 16:00:00
MSFT,51.560001373291016,2016-03-07 16:00:01
GOOG,35.345001220703125,2016-03-07 16:00:00
GOOG,34.429500579833984,2016-03-08 16:00:00
MSFT,50.79999923706055,2016-03-08 16:00:01
MSFT,51.88999938964844,2016-03-09 16:00:01
GOOG,34.923500061035156,2016-03-09 16:00:00
GOOG,35.40599822998047,2016-03-10 16:00:00
MSFT,52.93000030517578,2016-03-10 16:00:01
MSFT,53.0,2016-03-11 16:00:01
GOOG,36.0,2016-03-11 16:00:00
GOOG,36.34049987792969,2016-03-14 16:00:00
MSFT,52.709999084472656,2016-03-14 16:00:01
MSFT,52.75,2016-03-15 16:00:01
GOOG,36.34600067138672,2016-03-15 16:00:00
MSFT,53.45000076293945,2016-03-16 16:00:01
GOOG,36.31850051879883,2016-03-16 16:00:00
MSFT,54.209999084472656,2016-03-17 16:00:01
GOOG,36.8224983215332,2016-03-17 16:00:00
MSFT,54.91999816894531,2016-03-18 16:00:01
GOOG,37.09299850463867,2016-03-18 16:00:00
MSFT,53.25,2016-03-21 16:00:01
GOOG,36.82500076293945,2016-03-21 16:00:00
MSFT,53.61000061035156,2016-03-22 16:00:01
GOOG,36.87300109863281,2016-03-22 16:00:00
MSFT,54.11000061035156,2016-03-23 16:00:01
GOOG,37.11800003051758,2016-03-23 16:00:00
MSFT,53.84000015258789,2016-03-24 16:00:01
GOOG,36.60049819946289,2016-03-24 16:00:00
MSFT,54.209999084472656,2016-03-28 16:00:01
GOOG,36.839500427246094,2016-03-28 16:00:00
MSFT,53.65999984741211,2016-03-29 16:00:01
GOOG,36.72949981689453,2016-03-29 16:00:00
MSFT,54.93000030517578,2016-03-30 16:00:01
GOOG,37.505001068115234,2016-03-30 16:00:00
GOOG,37.462501525878906,2016-03-31 16:00:00
MSFT,54.95000076293945,2016-03-31 16:00:01
MSFT,55.04999923706055,2016-04-01 16:00:01
GOOG,36.93000030517578,2016-04-01 16:00:00
GOOG,37.50299835205078,2016-04-04 16:00:00
MSFT,55.43000030517578,2016-04-04 16:00:01
MSFT,55.189998626708984,2016-04-05 16:00:01
GOOG,36.900001525878906,2016-04-05 16:00:00
MSFT,54.36000061035156,2016-04-06 16:00:01
GOOG,36.78850173950195,2016-04-06 16:00:00
MSFT,54.869998931884766,2016-04-07 16:00:01
GOOG,37.26850128173828,2016-04-07 16:00:00
GOOG,37.19850158691406,2016-04-08 16:00:00
MSFT,54.66999816894531,2016-04-08 16:00:01
MSFT,54.4900016784668,2016-04-11 16:00:01
GOOG,37.1510009765625,2016-04-11 16:00:00
MSFT,54.369998931884766,2016-04-12 16:00:01
GOOG,36.900001525878906,2016-04-12 16:00:00
MSFT,55.119998931884766,2016-04-13 16:00:01
GOOG,37.45800018310547,2016-04-13 16:00:00
GOOG,37.70050048828125,2016-04-14 16:00:00
MSFT,55.220001220703125,2016-04-14 16:00:01
MSFT,55.29999923706055,2016-04-15 16:00:01
GOOG,37.69900131225586,2016-04-15 16:00:00
MSFT,55.4900016784668,2016-04-18 16:00:01
GOOG,38.02299880981445,2016-04-18 16:00:00
MSFT,56.630001068115234,2016-04-19 16:00:01
GOOG,38.47549819946289,2016-04-19 16:00:00
GOOG,37.900001525878906,2016-04-20 16:00:00
MSFT,56.290000915527344,2016-04-20 16:00:01
GOOG,37.76900100708008,2016-04-21 16:00:00
MSFT,55.79999923706055,2016-04-21 16:00:01
GOOG,36.314998626708984,2016-04-22 16:00:00
MSFT,51.90999984741211,2016-04-22 16:00:01
GOOG,35.80500030517578,2016-04-25 16:00:00
MSFT,51.779998779296875,2016-04-25 16:00:01
GOOG,36.270999908447266,2016-04-26 16:00:00
MSFT,52.2599983215332,2016-04-26 16:00:01
GOOG,35.364498138427734,2016-04-27 16:00:00
MSFT,51.47999954223633,2016-04-27 16:00:01
GOOG,35.41299819946289,2016-04-28 16:00:00
MSFT,50.619998931884766,2016-04-28 16:00:01
GOOG,34.53499984741211,2016-04-29 16:00:00
